Download Time,04/01/2022 18:52:59
Moana Serial Number,57
Moana Firmware,MOANA-1.21
Protocol Version,2
Moana calibration date,29/05/2021
Reset Codes, 0x200104
Moana Battery (V),3.59
Max Lifetime Depth (dBar),233.0
Baseline(mBar),987
Date,Time,Depth Decibar,Temperature C
2022-01-04,18:19:11,1.1,0.038
2022-01-04,18:19:15,2.3,-0.018
2022-01-04,18:24:15,3.0,1.274
2022-01-04,18:29:15,3.0,1.246
2022-01-04,18:34:15,3.0,1.241
2022-01-04,18:39:15,2.9,1.247
2022-01-04,18:44:15,2.9,1.255
2022-01-04,18:49:15,2.9,1.263
2022-01-04,18:52:51,1.4,0.025
2022-01-04,18:52:53,0.3,-0.015
