Probe Type,Moana
Serial Number,0057
Vessel Number,5
Vessel Name,Default_setup
Date Format,YYYY-MM-DD
Time Format,HH24:MI:SS
Temperature,C
Depth,m
HEADING,datet(GMT),lat,lon,Temperature (C),Depth (m)
DATA,2022-01-04 18:19:11,41.548012,-70.611118,0.0,1.1
DATA,2022-01-04 18:19:15,41.548012,-70.611118,-0.0,2.3
DATA,2022-01-04 18:24:15,41.548012,-70.611118,1.3,3.0
DATA,2022-01-04 18:29:15,41.548012,-70.611118,1.2,3.0
DATA,2022-01-04 18:34:15,41.548012,-70.611118,1.2,3.0
DATA,2022-01-04 18:39:15,41.548012,-70.611118,1.2,2.9
DATA,2022-01-04 18:44:15,41.548012,-70.611118,1.3,2.9
DATA,2022-01-04 18:49:15,41.548012,-70.611118,1.3,2.9
DATA,2022-01-04 18:52:51,41.548012,-70.611118,0.0,1.4
DATA,2022-01-04 18:52:53,41.548012,-70.611118,-0.0,0.3
